run_id,run_name,hidden,best_epoch,mode,threshold,split,samples,loss,accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,duration_ms,dense_ops_total,sparse_ops_total,estimated_speedup,active_total,activation_slots_total,avg_active_count,avg_active_ratio,avg_sparsity,avg_active_by_layer,max_abs_diff_from_dense,mismatch_count_from_dense
ac9d07b91384,compare_h256x64_lr003_bs16_seed42,256x64,88,dense,0.00000000,test,100,0.72909323,0.59000000,0.56923077,0.74000000,0.64347826,22,28,13,37,92,106502400,106502400,1.00000000,32000,32000,160.00000000,1.00000000,0.00000000,L0=256.00/256;L1=64.00/64,0.00000000,0
ac9d07b91384,compare_h256x64_lr003_bs16_seed42,256x64,88,sparse_exact,0.00000000,test,100,0.72909323,0.59000000,0.56923077,0.74000000,0.64347826,22,28,13,37,85,106502400,105721650,1.00738496,17645,32000,88.22500000,0.55140625,0.44859375,L0=134.35/256;L1=42.10/64,0.00000000,0
ac9d07b91384,compare_h256x64_lr003_bs16_seed42,256x64,88,sparse_threshold,0.05000000,test,100,0.73011361,0.59000000,0.56923077,0.74000000,0.64347826,22,28,13,37,95,106502400,105677983,1.00780122,16818,32000,84.09000000,0.52556250,0.47443750,L0=127.55/256;L1=40.63/64,0.01200244,0
ac9d07b91384,compare_h256x64_lr003_bs16_seed42,256x64,88,sparse_threshold,0.10000000,test,100,0.73553945,0.61000000,0.58730159,0.74000000,0.65486726,24,26,13,37,88,106502400,105634445,1.00821659,15994,32000,79.97000000,0.49981250,0.50018750,L0=120.77/256;L1=39.17/64,0.04481161,4
ac9d07b91384,compare_h256x64_lr003_bs16_seed42,256x64,88,sparse_threshold,0.25000000,test,100,0.75230735,0.58000000,0.56451613,0.70000000,0.62500000,23,27,15,35,91,106502400,105508677,1.00941840,13517,32000,67.58500000,0.42240625,0.57759375,L0=101.20/256;L1=33.97/64,0.10527750,3
ac9d07b91384,compare_h256x64_lr003_bs16_seed42,256x64,88,sparse_threshold,0.50000000,test,100,0.78234680,0.58000000,0.56451613,0.70000000,0.62500000,23,27,15,35,93,106502400,105314736,1.01127728,9584,32000,47.92000000,0.29950000,0.70050000,L0=71.04/256;L1=24.80/64,0.25142307,5
