rank,hidden,learning_rate,batch_size,head_mode,parameter_count,completed,failed,score,acc_mean,acc_std,acc_min,acc_max,f1_mean,f1_std,loss_mean,gap_abs_mean,epochs_mean,best_seed,best_seed_acc,best_seed_f1,best_seed_loss,best_seed_gap
1,32x64x512,0.01,16,softmax2,167522,42,0,0.8953632427890565,0.589047619047619,0.023177320997405625,0.54,0.64,0.5747926954644074,0.09295777284795365,0.7418108781178793,0.09396825396825399,42.69047619047619,7,0.64,0.6000000000000001,0.6872027516365051,0.030000000000000027
2,32x64x512,0.01,16,sigmoid1,167009,42,0,0.8811182466831061,0.5845238095238096,0.02441724419460469,0.53,0.64,0.5692648486719278,0.09897188163039407,0.7387298969995408,0.11531746031746033,41.357142857142854,24,0.64,0.6603773584905661,0.7852122187614441,0.17999999999999994
3,64x32x512,0.003,16,sigmoid1,281697,42,0,0.8723628776200011,0.5780952380952381,0.023728433339620915,0.52,0.62,0.5750891092145437,0.10379257696758805,0.7425569409415835,0.13365079365079363,48.54761904761905,25,0.62,0.6415094339622641,0.7044618129730225,0.13
4,128x32x512,0.003,32,sigmoid1,545953,42,0,0.8719750805499711,0.5766666666666667,0.024364950105649565,0.53,0.63,0.5706881270786075,0.10806846731891981,0.7239461087045216,0.1234126984126984,51.714285714285715,9,0.63,0.704,0.6987504363059998,-0.030000000000000027
5,64x32x512,0.003,16,softmax2,282210,42,0,0.868193206677885,0.5785714285714285,0.031965117041596956,0.51,0.69,0.5803197843656209,0.10948147234955677,0.7480967626685188,0.14222222222222222,41.80952380952381,11,0.69,0.7155963302752293,0.6751133799552917,0.023333333333333428
6,128x32x512,0.003,32,softmax2,546466,42,0,0.857485346584896,0.574047619047619,0.026100494778153117,0.51,0.63,0.5564918228685798,0.11883468980618583,0.7382559662773496,0.13103174603174603,45.666666666666664,12,0.63,0.6605504587155964,0.7175701856613159,0.18999999999999995
