run_id,stage,completed,cached,hidden,depth,parameter_count,learning_rate,batch_size,effective_batch_size,head_mode,output_dim,seed,max_epochs,epochs_run,stop_reason,best_epoch,best_train_loss,best_train_accuracy,best_train_precision,best_train_recall,best_train_f1,best_val_loss,best_val_accuracy,best_val_precision,best_val_recall,best_val_f1,final_train_loss,final_train_accuracy,final_val_loss,final_val_accuracy,generalization_gap,val_true_negative,val_false_positive,val_false_negative,val_true_positive,train_time_ms,run_directory,error
218cd343b791,output_head,True,False,32x64x512,3,167009,0.01,16,16,sigmoid1,1,11,500,35,low_learning,19,0.6018983125686646,0.6833333333333333,0.6222222222222222,0.9333333333333333,0.7466666666666667,0.7234770059585571,0.57,0.5454545454545454,0.84,0.6614173228346457,0.7035902738571167,0.54,1.0734916925430298,0.51,0.1133333333333334,15,35,8,42,1409,runs/output_head_tournament_v2/output_head/218cd343b791_32x64x512_lr0p01_bs16_sigmoid1_seed11,
fc68212de3c1,output_head,True,False,32x64x512,3,167009,0.01,16,16,sigmoid1,1,12,500,41,low_learning,25,0.5495941042900085,0.7933333333333333,0.8666666666666667,0.6933333333333334,0.7703703703703704,0.7154528498649597,0.6,0.631578947368421,0.48,0.5454545454545454,0.8324499726295471,0.53,1.1898353099822998,0.54,0.19333333333333336,36,14,26,24,1672,runs/output_head_tournament_v2/output_head/fc68212de3c1_32x64x512_lr0p01_bs16_sigmoid1_seed12,
ed5e482150b7,output_head,True,False,32x64x512,3,167009,0.01,16,16,sigmoid1,1,13,500,43,low_learning,14,0.6231744289398193,0.6566666666666666,0.6113744075829384,0.86,0.7146814404432132,0.7079148888587952,0.57,0.5538461538461539,0.72,0.6260869565217391,0.7518966794013977,0.5833333333333334,0.9695121049880981,0.55,0.08666666666666667,21,29,14,36,1714,runs/output_head_tournament_v2/output_head/ed5e482150b7_32x64x512_lr0p01_bs16_sigmoid1_seed13,
48855e184399,output_head,True,False,32x64x512,3,167009,0.01,16,16,sigmoid1,1,14,500,45,low_learning,28,0.5928298234939575,0.7133333333333334,0.6839080459770115,0.7933333333333333,0.7345679012345679,0.6931614279747009,0.62,0.6111111111111112,0.66,0.6346153846153846,1.8978298902511597,0.52,2.169602155685425,0.52,0.09333333333333338,29,21,17,33,1766,runs/output_head_tournament_v2/output_head/48855e184399_32x64x512_lr0p01_bs16_sigmoid1_seed14,
23dfd50b786a,output_head,True,False,32x64x512,3,167009,0.01,16,16,sigmoid1,1,15,500,48,low_learning,24,0.4931734800338745,0.8133333333333334,0.8012820512820513,0.8333333333333334,0.8169934640522877,0.7596548199653625,0.56,0.5555555555555556,0.6,0.576923076923077,0.5361862778663635,0.69,1.3765487670898438,0.5,0.2533333333333333,26,24,20,30,1908,runs/output_head_tournament_v2/output_head/23dfd50b786a_32x64x512_lr0p01_bs16_sigmoid1_seed15,
f13076176af7,output_head,True,False,32x64x512,3,167009,0.01,16,16,sigmoid1,1,16,500,38,low_learning,19,0.6371155977249146,0.68,0.6310679611650486,0.8666666666666667,0.7303370786516854,0.6825893521308899,0.62,0.5909090909090909,0.78,0.6724137931034482,0.6602445840835571,0.6166666666666667,1.0411828756332397,0.53,0.06000000000000005,23,27,11,39,1409,runs/output_head_tournament_v2/output_head/f13076176af7_32x64x512_lr0p01_bs16_sigmoid1_seed16,
bbd4d0c42459,output_head,True,False,32x64x512,3,167009,0.01,16,16,sigmoid1,1,17,500,30,low_learning,9,0.6387300491333008,0.66,0.6061946902654868,0.9133333333333333,0.7287234042553193,0.7079045176506042,0.58,0.5588235294117647,0.76,0.6440677966101696,0.6072666645050049,0.65,0.8127531409263611,0.51,0.08000000000000007,20,30,12,38,1164,runs/output_head_tournament_v2/output_head/bbd4d0c42459_32x64x512_lr0p01_bs16_sigmoid1_seed17,
96f3e9d932d6,output_head,True,False,32x64x512,3,167009,0.01,16,16,sigmoid1,1,18,500,45,low_learning,29,0.4158899188041687,0.8666666666666667,0.8571428571428571,0.88,0.8684210526315789,0.84284907579422,0.57,0.5714285714285714,0.56,0.5656565656565656,0.9041406512260437,0.5733333333333334,1.1629284620285034,0.56,0.29666666666666675,29,21,22,28,1782,runs/output_head_tournament_v2/output_head/96f3e9d932d6_32x64x512_lr0p01_bs16_sigmoid1_seed18,
06d797663c97,output_head,True,False,32x64x512,3,167009,0.01,16,16,sigmoid1,1,19,500,40,low_learning,21,0.5538154244422913,0.7133333333333334,0.6415929203539823,0.9666666666666667,0.771276595744681,0.7703748941421509,0.55,0.5324675324675324,0.82,0.6456692913385826,1.1071019172668457,0.56,1.569012999534607,0.49,0.16333333333333333,14,36,9,41,1582,runs/output_head_tournament_v2/output_head/06d797663c97_32x64x512_lr0p01_bs16_sigmoid1_seed19,
b039a2aabedb,output_head,True,False,32x64x512,3,167009,0.01,16,16,sigmoid1,1,20,500,30,low_learning,11,0.6288676857948303,0.71,0.7603305785123967,0.6133333333333333,0.6789667896678966,0.7107502818107605,0.58,0.5869565217391305,0.54,0.5625000000000001,0.7576733827590942,0.5933333333333334,1.043558955192566,0.54,0.13,31,19,23,27,1195,runs/output_head_tournament_v2/output_head/b039a2aabedb_32x64x512_lr0p01_bs16_sigmoid1_seed20,
66280d974260,output_head,True,False,32x64x512,3,167009,0.01,16,16,sigmoid1,1,21,500,37,low_learning,19,0.6429865956306458,0.63,0.7671232876712328,0.37333333333333335,0.5022421524663677,0.7976486086845398,0.57,0.6206896551724138,0.36,0.45569620253164556,0.8490211963653564,0.5466666666666666,1.128260850906372,0.53,0.06000000000000005,39,11,32,18,1408,runs/output_head_tournament_v2/output_head/66280d974260_32x64x512_lr0p01_bs16_sigmoid1_seed21,
872badec074d,output_head,True,False,32x64x512,3,167009,0.01,16,16,sigmoid1,1,22,500,45,low_learning,29,0.5027680397033691,0.7566666666666667,0.6878048780487804,0.94,0.7943661971830985,0.8527122139930725,0.6,0.5714285714285714,0.8,0.6666666666666666,0.5559146404266357,0.7,1.0574207305908203,0.49,0.15666666666666673,20,30,10,40,1780,runs/output_head_tournament_v2/output_head/872badec074d_32x64x512_lr0p01_bs16_sigmoid1_seed22,
c1eae6d41f0c,output_head,True,False,32x64x512,3,167009,0.01,16,16,sigmoid1,1,23,500,50,low_learning,29,0.5385584831237793,0.76,0.695,0.9266666666666666,0.7942857142857142,0.7117475867271423,0.6,0.5757575757575758,0.76,0.6551724137931034,0.4902709126472473,0.7733333333333333,0.78156578540802,0.52,0.16000000000000003,22,28,12,38,2026,runs/output_head_tournament_v2/output_head/c1eae6d41f0c_32x64x512_lr0p01_bs16_sigmoid1_seed23,
08cef9dd14d0,output_head,True,False,32x64x512,3,167009,0.01,16,16,sigmoid1,1,24,500,49,low_learning,34,0.4751594066619873,0.82,0.7580645161290323,0.94,0.8392857142857143,0.7852122187614441,0.64,0.625,0.7,0.6603773584905661,0.6083344221115112,0.5966666666666667,1.220051884651184,0.54,0.17999999999999994,29,21,15,35,1866,runs/output_head_tournament_v2/output_head/08cef9dd14d0_32x64x512_lr0p01_bs16_sigmoid1_seed24,
83e816cb7949,output_head,True,False,32x64x512,3,167009,0.01,16,16,sigmoid1,1,25,500,30,low_learning,15,0.6119793057441711,0.6666666666666666,0.7450980392156863,0.5066666666666667,0.6031746031746031,0.7120389342308044,0.58,0.6333333333333333,0.38,0.4750000000000001,0.6939319372177124,0.5533333333333333,1.0495330095291138,0.47,0.08666666666666667,39,11,31,19,1226,runs/output_head_tournament_v2/output_head/83e816cb7949_32x64x512_lr0p01_bs16_sigmoid1_seed25,
84f72c89cbfa,output_head,True,False,32x64x512,3,167009,0.01,16,16,sigmoid1,1,26,500,37,low_learning,18,0.6055217385292053,0.6666666666666666,0.7155172413793104,0.5533333333333333,0.6240601503759399,0.7226528525352478,0.6,0.625,0.5,0.5555555555555556,0.6102145314216614,0.63,0.799605667591095,0.52,0.06666666666666665,35,15,25,25,1568,runs/output_head_tournament_v2/output_head/84f72c89cbfa_32x64x512_lr0p01_bs16_sigmoid1_seed26,
6606d17e96ca,output_head,True,False,32x64x512,3,167009,0.01,16,16,sigmoid1,1,27,500,37,low_learning,5,0.6713955998420715,0.5966666666666667,0.5743589743589743,0.7466666666666667,0.6492753623188405,0.688772439956665,0.57,0.5522388059701493,0.74,0.6324786324786325,0.8267496824264526,0.5433333333333333,1.2329137325286865,0.53,0.026666666666666727,20,30,13,37,1485,runs/output_head_tournament_v2/output_head/6606d17e96ca_32x64x512_lr0p01_bs16_sigmoid1_seed27,
f5c00ac28279,output_head,True,False,32x64x512,3,167009,0.01,16,16,sigmoid1,1,28,500,33,low_learning,13,0.632996141910553,0.58,0.8529411764705882,0.19333333333333333,0.31521739130434784,0.6988319158554077,0.6,0.8125,0.26,0.3939393939393939,0.7715639472007751,0.54,1.055726170539856,0.55,-0.020000000000000018,47,3,37,13,1275,runs/output_head_tournament_v2/output_head/f5c00ac28279_32x64x512_lr0p01_bs16_sigmoid1_seed28,
26c0c1c12b61,output_head,True,False,32x64x512,3,167009,0.01,16,16,sigmoid1,1,29,500,47,low_learning,19,0.6251725554466248,0.6233333333333333,0.6528925619834711,0.5266666666666666,0.5830258302583026,0.6974610686302185,0.6,0.6136363636363636,0.54,0.574468085106383,0.5892650485038757,0.6633333333333333,1.1010373830795288,0.53,0.023333333333333317,33,17,23,27,1760,runs/output_head_tournament_v2/output_head/26c0c1c12b61_32x64x512_lr0p01_bs16_sigmoid1_seed29,
6bb0909b3723,output_head,True,False,32x64x512,3,167009,0.01,16,16,sigmoid1,1,30,500,48,low_learning,25,0.5722429156303406,0.72,0.65,0.9533333333333334,0.772972972972973,0.7532591819763184,0.53,0.52,0.78,0.624,1.3255822658538818,0.5133333333333333,1.5743458271026611,0.5,0.18999999999999995,14,36,11,39,1728,runs/output_head_tournament_v2/output_head/6bb0909b3723_32x64x512_lr0p01_bs16_sigmoid1_seed30,
6186d9fa74cf,output_head,True,False,32x64x512,3,167009,0.01,16,16,sigmoid1,1,31,500,38,validation_patience,3,0.6862247586250305,0.54,0.5340909090909091,0.6266666666666667,0.5766871165644173,0.6900445222854614,0.55,0.5384615384615384,0.7,0.608695652173913,0.4562946557998657,0.8366666666666667,0.8388748168945312,0.5,-0.010000000000000009,20,30,15,35,1448,runs/output_head_tournament_v2/output_head/6186d9fa74cf_32x64x512_lr0p01_bs16_sigmoid1_seed31,
d1e28f2ed362,output_head,True,False,32x64x512,3,167009,0.01,16,16,sigmoid1,1,32,500,46,low_learning,31,0.46355652809143066,0.8066666666666666,0.8026315789473685,0.8133333333333334,0.8079470198675497,0.799994707107544,0.59,0.5849056603773585,0.62,0.6019417475728155,0.46849244832992554,0.7633333333333333,0.8104376792907715,0.58,0.21666666666666667,28,22,19,31,1753,runs/output_head_tournament_v2/output_head/d1e28f2ed362_32x64x512_lr0p01_bs16_sigmoid1_seed32,
721f59c282e0,output_head,True,False,32x64x512,3,167009,0.01,16,16,sigmoid1,1,33,500,62,low_learning,35,0.5988455414772034,0.6666666666666666,0.7777777777777778,0.4666666666666667,0.5833333333333334,0.7693597078323364,0.58,0.6428571428571429,0.36,0.4615384615384615,0.3157404661178589,0.85,1.3537994623184204,0.43,0.08666666666666667,40,10,32,18,2211,runs/output_head_tournament_v2/output_head/721f59c282e0_32x64x512_lr0p01_bs16_sigmoid1_seed33,
3389b0914abe,output_head,True,False,32x64x512,3,167009,0.01,16,16,sigmoid1,1,34,500,31,low_learning,16,0.6116987466812134,0.6633333333333333,0.9298245614035088,0.35333333333333333,0.5120772946859903,0.7324879169464111,0.56,0.6875,0.22,0.3333333333333333,0.6246936321258545,0.57,0.9294914603233337,0.52,0.10333333333333328,45,5,39,11,1307,runs/output_head_tournament_v2/output_head/3389b0914abe_32x64x512_lr0p01_bs16_sigmoid1_seed34,
6926cef4d767,output_head,True,False,32x64x512,3,167009,0.01,16,16,sigmoid1,1,35,500,42,validation_patience,7,0.6640216112136841,0.66,0.6379310344827587,0.74,0.6851851851851852,0.690226137638092,0.62,0.6071428571428571,0.68,0.6415094339622641,0.3872191905975342,0.9,0.8288806080818176,0.54,0.040000000000000036,28,22,16,34,1749,runs/output_head_tournament_v2/output_head/6926cef4d767_32x64x512_lr0p01_bs16_sigmoid1_seed35,
bc94feeb8557,output_head,True,False,32x64x512,3,167009,0.01,16,16,sigmoid1,1,36,500,31,low_learning,12,0.6244159936904907,0.7066666666666667,0.7313432835820896,0.6533333333333333,0.6901408450704225,0.7172566056251526,0.58,0.6111111111111112,0.44,0.5116279069767442,0.6715124845504761,0.6033333333333334,0.8579527139663696,0.49,0.1266666666666667,36,14,28,22,1130,runs/output_head_tournament_v2/output_head/bc94feeb8557_32x64x512_lr0p01_bs16_sigmoid1_seed36,
7c372983df23,output_head,True,False,32x64x512,3,167009,0.01,16,16,sigmoid1,1,37,500,46,low_learning,26,0.5801466107368469,0.6966666666666667,0.9538461538461539,0.41333333333333333,0.5767441860465117,0.7805646061897278,0.56,0.6363636363636364,0.28,0.3888888888888889,0.7005749940872192,0.56,1.0942068099975586,0.5,0.1366666666666666,42,8,36,14,1577,runs/output_head_tournament_v2/output_head/7c372983df23_32x64x512_lr0p01_bs16_sigmoid1_seed37,
c3863ffebe53,output_head,True,False,32x64x512,3,167009,0.01,16,16,sigmoid1,1,38,500,75,low_learning,57,0.41591885685920715,0.8166666666666667,0.8321678321678322,0.7933333333333333,0.8122866894197952,1.026254653930664,0.6,0.6,0.6,0.6,0.24642860889434814,0.9033333333333333,1.3776321411132812,0.46,0.21666666666666667,30,20,20,30,2770,runs/output_head_tournament_v2/output_head/c3863ffebe53_32x64x512_lr0p01_bs16_sigmoid1_seed38,
ed20b3535b52,output_head,True,False,32x64x512,3,167009,0.01,16,16,sigmoid1,1,39,500,39,low_learning,24,0.50894695520401,0.77,0.7484662576687117,0.8133333333333334,0.7795527156549521,0.7685089111328125,0.57,0.5614035087719298,0.64,0.5981308411214953,0.516044020652771,0.6733333333333333,0.9568482637405396,0.56,0.20000000000000007,25,25,18,32,1461,runs/output_head_tournament_v2/output_head/ed20b3535b52_32x64x512_lr0p01_bs16_sigmoid1_seed39,
14a885a61032,output_head,True,False,32x64x512,3,167009,0.01,16,16,sigmoid1,1,40,500,47,low_learning,20,0.5821260809898376,0.6666666666666666,0.9166666666666666,0.36666666666666664,0.5238095238095238,0.7536213994026184,0.62,0.8,0.32,0.45714285714285713,0.7036083936691284,0.6333333333333333,1.0792940855026245,0.49,0.046666666666666634,46,4,34,16,1819,runs/output_head_tournament_v2/output_head/14a885a61032_32x64x512_lr0p01_bs16_sigmoid1_seed40,
