epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,epoch_time_ms
49,0.36971237,0.80000000,0.71428571,1.00000000,0.83333333,1.14534845,0.54000000,0.52325581,0.90000000,0.66176471,240
50,0.29729925,0.90333333,0.98400000,0.82000000,0.89454545,0.97071725,0.50000000,0.50000000,0.32000000,0.39024390,237
51,0.31409133,0.97000000,0.96688742,0.97333333,0.97009967,0.85880832,0.52000000,0.52173913,0.48000000,0.50000000,236
52,0.19016536,0.97000000,0.96688742,0.97333333,0.97009967,1.03755639,0.50000000,0.50000000,0.48000000,0.48979592,237
53,0.24092094,0.90666667,0.84659091,0.99333333,0.91411043,1.11292548,0.51000000,0.50724638,0.70000000,0.58823529,237
54,0.16215625,0.96666667,0.93750000,1.00000000,0.96774194,1.16444090,0.56000000,0.54545455,0.72000000,0.62068966,240
55,0.14137727,0.99000000,0.98039216,1.00000000,0.99009901,1.12958439,0.50000000,0.50000000,0.58000000,0.53703704,238
56,0.17838669,0.95666667,0.99280576,0.92000000,0.95501730,1.32593388,0.46000000,0.44444444,0.32000000,0.37209302,238
57,0.46520075,0.76000000,0.67567568,1.00000000,0.80645161,1.43979933,0.54000000,0.52325581,0.90000000,0.66176471,235
58,0.12658376,0.99666667,1.00000000,0.99333333,0.99665552,1.13942519,0.50000000,0.50000000,0.46000000,0.47916667,237
59,0.13055651,0.97666667,0.95541401,1.00000000,0.97719870,1.21369211,0.56000000,0.54545455,0.72000000,0.62068966,237
60,0.57141683,0.63666667,1.00000000,0.27333333,0.42931937,1.46736302,0.50000000,0.50000000,0.02000000,0.03846154,237
61,0.13053726,0.97666667,0.97350993,0.98000000,0.97674419,1.14379925,0.52000000,0.51785714,0.58000000,0.54716981,235
62,0.70560446,0.67666667,0.60728745,1.00000000,0.75566751,1.24013571,0.54000000,0.52222222,0.94000000,0.67142857,240
63,0.09315483,0.99000000,0.98039216,1.00000000,0.99009901,1.27509183,0.49000000,0.49152542,0.58000000,0.53211009,240
64,0.07761729,0.99666667,0.99337748,1.00000000,0.99667774,1.25041802,0.52000000,0.51923077,0.54000000,0.52941176,237
65,0.46386902,0.75666667,0.67264574,1.00000000,0.80428954,1.49023604,0.53000000,0.51724138,0.90000000,0.65693431,240
66,0.09954384,0.97666667,0.95541401,1.00000000,0.97719870,1.27675849,0.57000000,0.55223881,0.74000000,0.63247863,240
67,0.19286331,0.98333333,0.97385621,0.99333333,0.98349835,1.01259264,0.55000000,0.54545455,0.60000000,0.57142857,238
68,0.08910268,0.98666667,0.97402597,1.00000000,0.98684211,1.18514133,0.51000000,0.50847458,0.60000000,0.55045872,237
69,1.17750877,0.56000000,0.53191489,1.00000000,0.69444444,1.77748706,0.48000000,0.48958333,0.94000000,0.64383562,239
70,0.54772211,0.68000000,0.60975610,1.00000000,0.75757576,1.14294906,0.54000000,0.52272727,0.92000000,0.66666667,241
71,0.09313542,0.98666667,0.97402597,1.00000000,0.98684211,1.25459208,0.56000000,0.54545455,0.72000000,0.62068966,237
72,0.23555034,0.90000000,0.83333333,1.00000000,0.90909091,1.22278251,0.59000000,0.55844156,0.86000000,0.67716535,236
73,0.11101891,0.98333333,1.00000000,0.96666667,0.98305085,1.41599901,0.47000000,0.45161290,0.28000000,0.34567901,235
74,0.14600309,0.97000000,0.94339623,1.00000000,0.97087379,1.27071146,0.49000000,0.49206349,0.62000000,0.54867257,238
75,0.06053271,1.00000000,1.00000000,1.00000000,1.00000000,1.26092445,0.53000000,0.52631579,0.60000000,0.56074766,235
76,0.05355771,0.99666667,0.99337748,1.00000000,0.99667774,1.34896191,0.50000000,0.50000000,0.60000000,0.54545455,238
77,0.04673107,1.00000000,1.00000000,1.00000000,1.00000000,1.38581789,0.50000000,0.50000000,0.60000000,0.54545455,236
78,0.04496350,0.99666667,0.99337748,1.00000000,0.99667774,1.44777212,0.49000000,0.49152542,0.58000000,0.53211009,244
79,0.04055428,0.99666667,0.99337748,1.00000000,0.99667774,1.40161111,0.52000000,0.51724138,0.60000000,0.55555556,235
80,0.04498359,0.99666667,0.99337748,1.00000000,0.99667774,1.43249619,0.52000000,0.51612903,0.64000000,0.57142857,237
81,0.03709966,1.00000000,1.00000000,1.00000000,1.00000000,1.43551359,0.48000000,0.48076923,0.50000000,0.49019608,238
82,0.04056551,1.00000000,1.00000000,1.00000000,1.00000000,1.42215882,0.53000000,0.52459016,0.64000000,0.57657658,238
83,0.03363916,1.00000000,1.00000000,1.00000000,1.00000000,1.41866652,0.51000000,0.50877193,0.58000000,0.54205607,238
84,0.03201716,1.00000000,1.00000000,1.00000000,1.00000000,1.50574412,0.50000000,0.50000000,0.50000000,0.50000000,240
85,0.02987142,1.00000000,1.00000000,1.00000000,1.00000000,1.46793073,0.50000000,0.50000000,0.58000000,0.53703704,239
86,0.05353201,0.99666667,1.00000000,0.99333333,0.99665552,1.55388345,0.45000000,0.42857143,0.30000000,0.35294118,235
87,0.02970803,1.00000000,1.00000000,1.00000000,1.00000000,1.48823379,0.47000000,0.46666667,0.42000000,0.44210526,236
88,0.03550650,1.00000000,1.00000000,1.00000000,1.00000000,1.55695017,0.46000000,0.45000000,0.36000000,0.40000000,236
89,0.02504053,1.00000000,1.00000000,1.00000000,1.00000000,1.48960722,0.48000000,0.48076923,0.50000000,0.49019608,235
90,0.03442556,1.00000000,1.00000000,1.00000000,1.00000000,1.50531696,0.55000000,0.53846154,0.70000000,0.60869565,241
91,0.02225925,1.00000000,1.00000000,1.00000000,1.00000000,1.51355993,0.47000000,0.47058824,0.48000000,0.47524752,234
92,0.02244916,1.00000000,1.00000000,1.00000000,1.00000000,1.57627985,0.50000000,0.50000000,0.46000000,0.47916667,236
93,0.02079550,1.00000000,1.00000000,1.00000000,1.00000000,1.58535360,0.50000000,0.50000000,0.48000000,0.48979592,236
94,0.02172233,1.00000000,1.00000000,1.00000000,1.00000000,1.58771243,0.47000000,0.47368421,0.54000000,0.50467290,235
95,0.01917650,1.00000000,1.00000000,1.00000000,1.00000000,1.57684330,0.50000000,0.50000000,0.48000000,0.48979592,236
96,0.01985609,1.00000000,1.00000000,1.00000000,1.00000000,1.58569646,0.50000000,0.50000000,0.46000000,0.47916667,236
97,0.01747805,1.00000000,1.00000000,1.00000000,1.00000000,1.61384612,0.50000000,0.50000000,0.50000000,0.50000000,235
98,0.01744375,1.00000000,1.00000000,1.00000000,1.00000000,1.59906775,0.48000000,0.47826087,0.44000000,0.45833333,236
99,0.01945371,1.00000000,1.00000000,1.00000000,1.00000000,1.63307319,0.48000000,0.48275862,0.56000000,0.51851852,235
100,0.01572498,1.00000000,1.00000000,1.00000000,1.00000000,1.61078100,0.51000000,0.50980392,0.52000000,0.51485149,236
101,0.01964210,1.00000000,1.00000000,1.00000000,1.00000000,1.64878386,0.51000000,0.51219512,0.42000000,0.46153846,235
102,0.01558224,1.00000000,1.00000000,1.00000000,1.00000000,1.64262071,0.50000000,0.50000000,0.56000000,0.52830189,235
103,0.01457386,1.00000000,1.00000000,1.00000000,1.00000000,1.66744418,0.49000000,0.48936170,0.46000000,0.47422680,235
104,0.01523177,1.00000000,1.00000000,1.00000000,1.00000000,1.68237500,0.48000000,0.47727273,0.42000000,0.44680851,235
105,0.01361075,1.00000000,1.00000000,1.00000000,1.00000000,1.68601171,0.48000000,0.48076923,0.50000000,0.49019608,238
106,0.01514217,1.00000000,1.00000000,1.00000000,1.00000000,1.67385293,0.50000000,0.50000000,0.56000000,0.52830189,234
107,0.01275763,1.00000000,1.00000000,1.00000000,1.00000000,1.68272975,0.50000000,0.50000000,0.48000000,0.48979592,235
108,0.01226399,1.00000000,1.00000000,1.00000000,1.00000000,1.66330576,0.48000000,0.48076923,0.50000000,0.49019608,237
109,0.01186595,1.00000000,1.00000000,1.00000000,1.00000000,1.68628931,0.50000000,0.50000000,0.48000000,0.48979592,237
110,0.01315750,1.00000000,1.00000000,1.00000000,1.00000000,1.69839193,0.47000000,0.46666667,0.42000000,0.44210526,236
111,0.01197909,1.00000000,1.00000000,1.00000000,1.00000000,1.69244633,0.49000000,0.49090909,0.54000000,0.51428571,236
112,0.01132156,1.00000000,1.00000000,1.00000000,1.00000000,1.72773594,0.48000000,0.48000000,0.48000000,0.48000000,234
113,0.01104904,1.00000000,1.00000000,1.00000000,1.00000000,1.72177723,0.47000000,0.47169811,0.50000000,0.48543689,235
114,0.01090687,1.00000000,1.00000000,1.00000000,1.00000000,1.73536592,0.49000000,0.48936170,0.46000000,0.47422680,235
115,0.01067573,1.00000000,1.00000000,1.00000000,1.00000000,1.73235312,0.49000000,0.48936170,0.46000000,0.47422680,236
116,0.01140703,1.00000000,1.00000000,1.00000000,1.00000000,1.74141929,0.50000000,0.50000000,0.56000000,0.52830189,235
117,0.00981957,1.00000000,1.00000000,1.00000000,1.00000000,1.73743382,0.49000000,0.48979592,0.48000000,0.48484848,236
118,0.00982847,1.00000000,1.00000000,1.00000000,1.00000000,1.75445491,0.49000000,0.49056604,0.52000000,0.50485437,235
119,0.01017038,1.00000000,1.00000000,1.00000000,1.00000000,1.76980397,0.49000000,0.49090909,0.54000000,0.51428571,236
120,0.00919765,1.00000000,1.00000000,1.00000000,1.00000000,1.76465738,0.47000000,0.47058824,0.48000000,0.47524752,235
121,0.00908999,1.00000000,1.00000000,1.00000000,1.00000000,1.74704341,0.47000000,0.47058824,0.48000000,0.47524752,235
122,0.00877350,1.00000000,1.00000000,1.00000000,1.00000000,1.76678858,0.49000000,0.48936170,0.46000000,0.47422680,236
123,0.00871852,1.00000000,1.00000000,1.00000000,1.00000000,1.77051835,0.48000000,0.48076923,0.50000000,0.49019608,235
124,0.00888994,1.00000000,1.00000000,1.00000000,1.00000000,1.79214016,0.49000000,0.49090909,0.54000000,0.51428571,236
125,0.00867609,1.00000000,1.00000000,1.00000000,1.00000000,1.77737557,0.48000000,0.47826087,0.44000000,0.45833333,237
126,0.00838586,1.00000000,1.00000000,1.00000000,1.00000000,1.77596622,0.50000000,0.50000000,0.54000000,0.51923077,235
127,0.00833254,1.00000000,1.00000000,1.00000000,1.00000000,1.81114707,0.49000000,0.48936170,0.46000000,0.47422680,236
128,0.00784434,1.00000000,1.00000000,1.00000000,1.00000000,1.78900620,0.50000000,0.50000000,0.48000000,0.48979592,234
129,0.00848438,1.00000000,1.00000000,1.00000000,1.00000000,1.81948426,0.49000000,0.49090909,0.54000000,0.51428571,236
130,0.00776554,1.00000000,1.00000000,1.00000000,1.00000000,1.80501753,0.48000000,0.47826087,0.44000000,0.45833333,235
131,0.00739691,1.00000000,1.00000000,1.00000000,1.00000000,1.81711793,0.48000000,0.47826087,0.44000000,0.45833333,236
132,0.00768580,1.00000000,1.00000000,1.00000000,1.00000000,1.82224147,0.49000000,0.49090909,0.54000000,0.51428571,234
