epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,epoch_time_ms
49,0.33422928,0.84000000,1.00000000,0.68000000,0.80952381,1.06495462,0.49000000,0.47619048,0.20000000,0.28169014,143
50,0.19621523,0.95666667,0.94193548,0.97333333,0.95737705,1.00515683,0.51000000,0.51162791,0.44000000,0.47311828,144
51,0.61642622,0.67333333,1.00000000,0.34666667,0.51485149,1.58408732,0.52000000,0.58333333,0.14000000,0.22580645,140
52,0.40208817,0.84666667,0.83766234,0.86000000,0.84868421,0.88791841,0.49000000,0.48888889,0.44000000,0.46315789,139
53,0.26457677,0.89000000,0.90344828,0.87333333,0.88813559,1.09895463,0.55000000,0.55813953,0.48000000,0.51612903,141
54,0.35625193,0.90333333,0.96899225,0.83333333,0.89605735,0.90178995,0.51000000,0.51612903,0.32000000,0.39506173,142
55,0.49804136,0.75000000,0.66666667,1.00000000,0.80000000,1.26014231,0.50000000,0.50000000,0.76000000,0.60317460,141
56,0.24698206,0.88000000,0.80645161,1.00000000,0.89285714,1.06985744,0.52000000,0.51470588,0.70000000,0.59322034,141
57,0.29466358,0.95666667,0.94193548,0.97333333,0.95737705,0.78646634,0.59000000,0.61538462,0.48000000,0.53932584,140
58,0.20063774,0.92000000,0.86206897,1.00000000,0.92592593,1.07333968,0.49000000,0.49206349,0.62000000,0.54867257,138
59,0.46045831,0.78666667,0.70093458,1.00000000,0.82417582,0.90327099,0.51000000,0.50704225,0.72000000,0.59504132,141
60,0.25601575,0.94000000,0.97826087,0.90000000,0.93750000,0.91992432,0.54000000,0.55000000,0.44000000,0.48888889,142
61,0.85935465,0.59666667,0.55350554,1.00000000,0.71258907,1.31597336,0.50000000,0.50000000,0.92000000,0.64788732,140
62,0.20612239,0.96000000,0.97260274,0.94666667,0.95945946,1.09262102,0.54000000,0.56250000,0.36000000,0.43902439,140
63,0.27681440,0.88000000,0.80645161,1.00000000,0.89285714,1.13747656,0.54000000,0.52564103,0.82000000,0.64062500,140
64,0.25275734,0.89333333,0.82417582,1.00000000,0.90361446,0.98943755,0.53000000,0.52307692,0.68000000,0.59130435,141
65,0.12887026,0.96333333,0.93710692,0.99333333,0.96440129,1.21570536,0.51000000,0.50980392,0.52000000,0.51485149,139
66,0.22643678,0.90666667,0.86309524,0.96666667,0.91194969,1.40023106,0.50000000,0.50000000,0.54000000,0.51923077,141
67,0.19724957,0.92000000,0.99218750,0.84666667,0.91366906,1.54568192,0.59000000,0.71428571,0.30000000,0.42253521,139
68,0.49075160,0.82666667,0.86567164,0.77333333,0.81690141,0.74195398,0.55000000,0.56756757,0.42000000,0.48275862,142
69,0.58740609,0.64666667,1.00000000,0.29333333,0.45360825,1.03571748,0.55000000,0.77777778,0.14000000,0.23728814,140
70,0.43079179,0.76000000,0.67567568,1.00000000,0.80645161,1.12559742,0.48000000,0.48809524,0.82000000,0.61194030,137
71,0.21244810,0.93666667,0.88757396,1.00000000,0.94043887,1.06141510,0.51000000,0.50847458,0.60000000,0.55045872,139
72,0.32286189,0.84000000,0.76288660,0.98666667,0.86046512,1.00517844,0.55000000,0.53521127,0.76000000,0.62809917,142
73,0.32257165,0.88000000,0.84337349,0.93333333,0.88607595,0.87804950,0.55000000,0.54237288,0.64000000,0.58715596,139
74,1.02954863,0.60666667,0.97058824,0.22000000,0.35869565,2.32287897,0.52000000,0.60000000,0.12000000,0.20000000,140
75,0.38254962,0.82000000,0.82000000,0.82000000,0.82000000,0.90514926,0.54000000,0.55555556,0.40000000,0.46511628,140
76,0.29675294,0.87000000,0.79365079,1.00000000,0.88495575,0.99532107,0.55000000,0.53846154,0.70000000,0.60869565,141
77,0.21073075,0.91666667,0.98449612,0.84666667,0.91039427,1.17528736,0.56000000,0.62500000,0.30000000,0.40540541,139
78,0.42455882,0.78333333,0.69767442,1.00000000,0.82191781,1.04196152,0.59000000,0.56164384,0.82000000,0.66666667,142
79,0.21598582,0.96333333,1.00000000,0.92666667,0.96193772,0.99828673,0.51000000,0.51612903,0.32000000,0.39506173,141
80,0.13695006,0.96666667,0.93750000,1.00000000,0.96774194,1.14679866,0.51000000,0.50877193,0.58000000,0.54205607,140
81,0.12592955,0.97666667,0.98639456,0.96666667,0.97643098,1.27171765,0.55000000,0.58064516,0.36000000,0.44444444,142
82,0.09808401,0.99000000,1.00000000,0.98000000,0.98989899,1.30684300,0.52000000,0.53125000,0.34000000,0.41463415,141
83,0.13382692,0.95666667,0.92024540,1.00000000,0.95846645,1.32318075,0.51000000,0.50877193,0.58000000,0.54205607,138
84,0.12880556,0.96666667,1.00000000,0.93333333,0.96551724,1.47868985,0.59000000,0.65517241,0.38000000,0.48101266,138
85,0.35466884,0.83000000,1.00000000,0.66000000,0.79518072,1.12588508,0.56000000,0.63636364,0.28000000,0.38888889,142
86,0.22990574,0.92000000,0.93750000,0.90000000,0.91836735,1.06342826,0.51000000,0.51063830,0.48000000,0.49484536,141
87,0.23805105,0.87333333,0.93750000,0.80000000,0.86330935,1.20554301,0.55000000,0.56410256,0.44000000,0.49438202,146
88,0.33537173,0.89333333,0.89333333,0.89333333,0.89333333,0.91766168,0.45000000,0.44186047,0.38000000,0.40860215,140
89,0.26297404,0.90000000,0.87500000,0.93333333,0.90322581,1.19692183,0.53000000,0.52631579,0.60000000,0.56074766,143
90,0.63110571,0.62666667,0.82758621,0.32000000,0.46153846,1.26966335,0.50000000,0.50000000,0.20000000,0.28571429,137
91,0.22881000,0.93000000,0.96402878,0.89333333,0.92733564,1.16308044,0.52000000,0.52500000,0.42000000,0.46666667,141
92,0.35602609,0.83666667,0.99029126,0.68000000,0.80632411,1.42020903,0.49000000,0.48000000,0.24000000,0.32000000,142
93,0.24650763,0.92666667,0.95070423,0.90000000,0.92465753,1.15910210,0.52000000,0.52631579,0.40000000,0.45454545,140
94,0.11730404,0.97000000,0.96688742,0.97333333,0.97009967,1.36765679,0.52000000,0.51923077,0.54000000,0.52941176,141
95,0.23642713,0.93666667,0.91194969,0.96666667,0.93851133,0.98627912,0.49000000,0.49152542,0.58000000,0.53211009,141
96,0.11941928,0.96000000,0.94230769,0.98000000,0.96078431,1.42561034,0.50000000,0.50000000,0.54000000,0.51923077,141
97,0.20966625,0.91000000,0.85964912,0.98000000,0.91588785,1.31722716,0.51000000,0.50793651,0.64000000,0.56637168,138
98,0.12130197,0.98000000,0.98648649,0.97333333,0.97986577,1.46198875,0.53000000,0.54285714,0.38000000,0.44705882,140
99,0.56805841,0.71666667,1.00000000,0.43333333,0.60465116,1.86344218,0.54000000,0.75000000,0.12000000,0.20689655,139
100,0.35643148,0.86333333,0.79144385,0.98666667,0.87833828,1.31382559,0.50000000,0.50000000,0.72000000,0.59016393,141
101,0.35772170,0.80333333,1.00000000,0.60666667,0.75518672,1.27515652,0.50000000,0.50000000,0.16000000,0.24242424,139
102,0.19011485,0.93333333,0.96428571,0.90000000,0.93103448,1.41686552,0.51000000,0.51282051,0.40000000,0.44943820,142
103,0.37021184,0.83000000,0.92307692,0.72000000,0.80898876,1.37562944,0.51000000,0.51428571,0.36000000,0.42352941,141
104,0.25661831,0.89000000,0.96800000,0.80666667,0.88000000,1.43315669,0.48000000,0.46428571,0.26000000,0.33333333,138
105,0.33028954,0.94333333,0.95862069,0.92666667,0.94237288,0.95564121,0.54000000,0.57692308,0.30000000,0.39473684,141
106,0.16489000,0.94333333,0.90797546,0.98666667,0.94568690,1.21353264,0.52000000,0.51562500,0.66000000,0.57894737,141
107,0.48636428,0.72666667,0.79824561,0.60666667,0.68939394,1.13633585,0.51000000,0.51515152,0.34000000,0.40963855,147
