epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time_ms
1,0.69610167,0.49000000,0.70711592,0.49000000,405
2,0.68665307,0.53333333,0.70056170,0.49000000,398
3,0.68583219,0.58666667,0.70150690,0.53000000,399
4,0.67938762,0.55666667,0.69737334,0.50000000,397
5,0.68385941,0.58000000,0.70321351,0.52000000,396
6,0.67452655,0.58333333,0.69648664,0.54000000,398
7,0.67155712,0.59333333,0.69577481,0.53000000,394
8,0.67541763,0.55333333,0.70124367,0.50000000,393
9,0.67017223,0.61666667,0.69755817,0.58000000,396
10,0.66413636,0.60666667,0.69352283,0.51000000,394
11,0.66266465,0.61000000,0.69375403,0.58000000,393
12,0.66042078,0.61666667,0.69316163,0.58000000,391
13,0.66049156,0.60333333,0.69466648,0.51000000,393
14,0.65663230,0.60666667,0.69265152,0.50000000,395
15,0.65365283,0.66000000,0.69151744,0.55000000,392
16,0.65326127,0.64666667,0.69267297,0.56000000,400
17,0.65055874,0.63000000,0.69118574,0.48000000,394
18,0.64889942,0.63666667,0.69166528,0.51000000,397
19,0.64582176,0.67666667,0.69041486,0.53000000,392
20,0.64441635,0.68333333,0.69132534,0.61000000,392
21,0.64213789,0.69333333,0.69088690,0.55000000,399
22,0.64033476,0.68666667,0.68982192,0.51000000,404
23,0.63823373,0.68666667,0.68963354,0.54000000,394
24,0.63639737,0.69000000,0.68998553,0.52000000,399
25,0.63717461,0.66666667,0.69246059,0.59000000,395
26,0.63458030,0.66666667,0.69115127,0.50000000,399
27,0.63457029,0.65666667,0.69225787,0.50000000,393
28,0.62951264,0.72000000,0.68935549,0.55000000,411
29,0.62914394,0.67666667,0.69082611,0.49000000,421
30,0.62700671,0.71000000,0.69141726,0.61000000,441
31,0.62559360,0.68666667,0.69052993,0.50000000,408
32,0.62313424,0.72000000,0.69053577,0.59000000,399
33,0.62393764,0.70000000,0.69363297,0.56000000,393
34,0.62944496,0.65333333,0.69866251,0.52000000,402
35,0.62538328,0.65666667,0.69585276,0.56000000,393
36,0.61721303,0.71666667,0.69087896,0.50000000,395
37,0.61533570,0.72000000,0.69061334,0.58000000,398
38,0.61395211,0.72666667,0.69105536,0.57000000,392
39,0.61545516,0.70333333,0.69400965,0.55000000,392
40,0.61295284,0.72000000,0.69242117,0.51000000,428
41,0.60887711,0.73333333,0.69009219,0.58000000,396
42,0.60793054,0.73666667,0.69081241,0.53000000,407
43,0.60899292,0.72000000,0.69308137,0.56000000,399
44,0.60427564,0.73666667,0.69011186,0.58000000,397
45,0.61079335,0.69666667,0.69720105,0.55000000,398
46,0.60164974,0.75000000,0.69109276,0.53000000,398
47,0.59973893,0.74666667,0.69061332,0.54000000,394
48,0.59820980,0.75666667,0.69069205,0.54000000,397
49,0.59675911,0.75666667,0.69053452,0.54000000,408
50,0.59964457,0.74333333,0.69334100,0.53000000,396
51,0.59589629,0.75000000,0.69217907,0.57000000,406
52,0.59452740,0.76000000,0.69268689,0.56000000,405
53,0.59156322,0.74000000,0.69104549,0.58000000,416
54,0.59005299,0.75666667,0.69133339,0.58000000,394
55,0.58909562,0.74333333,0.69133274,0.59000000,394
56,0.58658963,0.77666667,0.69064415,0.54000000,392
57,0.58535005,0.76666667,0.69077157,0.54000000,394
58,0.58373221,0.78333333,0.69089444,0.54000000,393
59,0.58231585,0.79000000,0.69127148,0.54000000,397
60,0.58621741,0.76333333,0.69534779,0.54000000,393
61,0.57979578,0.78000000,0.69106288,0.54000000,408
62,0.58789115,0.72000000,0.69913311,0.53000000,402
63,0.57817265,0.76333333,0.69250518,0.58000000,403
64,0.57841935,0.78666667,0.69399308,0.57000000,396
65,0.57685810,0.75666667,0.69417746,0.56000000,397
66,0.57604587,0.78666667,0.69428803,0.58000000,391
67,0.58345136,0.71000000,0.70336959,0.54000000,401
68,0.57055671,0.77666667,0.69282512,0.54000000,403
69,0.56848747,0.80666667,0.69175308,0.55000000,400
70,0.56717488,0.80666667,0.69225047,0.54000000,395
71,0.56611828,0.79666667,0.69196025,0.52000000,406
72,0.56445645,0.81333333,0.69133261,0.54000000,407
73,0.56562689,0.77666667,0.69498771,0.58000000,401
74,0.56544747,0.76666667,0.69509425,0.52000000,399
75,0.56324203,0.79000000,0.69491190,0.56000000,397
76,0.56252582,0.79333333,0.69482139,0.57000000,396
77,0.56333397,0.77000000,0.69762551,0.52000000,394
