epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time_ms
1,0.70890585,0.49000000,0.71048744,0.52000000,398
2,0.70602867,0.49333333,0.71176248,0.52000000,395
3,0.69840422,0.51666667,0.71061240,0.46000000,403
4,0.69410178,0.53333333,0.70890051,0.46000000,406
5,0.68878892,0.54000000,0.70602440,0.48000000,405
6,0.69205888,0.56333333,0.71555792,0.48000000,413
7,0.68178262,0.55333333,0.70782555,0.44000000,391
8,0.68374302,0.54333333,0.71170068,0.49000000,396
9,0.68052412,0.58333333,0.71538300,0.48000000,399
10,0.67467026,0.58000000,0.71101905,0.49000000,400
11,0.67060147,0.59000000,0.71000000,0.45000000,402
12,0.66835135,0.58000000,0.70985297,0.45000000,400
13,0.66615994,0.60666667,0.71044887,0.47000000,411
14,0.66389715,0.58666667,0.70954945,0.46000000,396
15,0.66089351,0.61000000,0.70959130,0.46000000,401
16,0.66862035,0.59333333,0.72220881,0.50000000,390
17,0.65872155,0.61000000,0.71299955,0.46000000,392
18,0.65988841,0.59333333,0.71254234,0.46000000,406
19,0.65204000,0.64333333,0.70967039,0.46000000,404
20,0.65129436,0.62666667,0.71316793,0.49000000,399
21,0.64774428,0.64333333,0.71090077,0.47000000,399
22,0.65514495,0.60333333,0.71739553,0.50000000,404
23,0.64499159,0.63666667,0.71332971,0.49000000,399
24,0.64248693,0.64333333,0.71109436,0.47000000,386
25,0.63972994,0.65666667,0.71192193,0.50000000,393
26,0.63907749,0.64666667,0.71257029,0.48000000,396
27,0.63602173,0.66333333,0.71199578,0.46000000,416
28,0.63604488,0.65666667,0.71401303,0.49000000,397
29,0.63171264,0.66666667,0.71331914,0.49000000,390
30,0.63607783,0.66333333,0.71671245,0.45000000,397
31,0.63190902,0.66666667,0.71893438,0.46000000,390
32,0.62613422,0.68333333,0.71341957,0.47000000,395
33,0.63209938,0.66000000,0.71754107,0.46000000,393
34,0.62314141,0.68333333,0.71375266,0.46000000,389
35,0.62100779,0.69000000,0.71498719,0.50000000,392
36,0.61954387,0.69333333,0.71505487,0.46000000,389
37,0.61783591,0.69333333,0.71464459,0.47000000,404
38,0.61549545,0.70333333,0.71418362,0.47000000,388
39,0.61535967,0.70333333,0.71748042,0.50000000,390
40,0.61617729,0.69333333,0.72082219,0.45000000,388
41,0.61064980,0.73000000,0.71683514,0.50000000,391
42,0.60871453,0.72000000,0.71644827,0.48000000,398
43,0.60709315,0.74000000,0.71647494,0.49000000,398
44,0.60558835,0.74333333,0.71688871,0.50000000,393
45,0.60760395,0.71000000,0.72240901,0.49000000,389
46,0.60312474,0.73333333,0.71890188,0.50000000,391
47,0.60313860,0.70000000,0.71785678,0.49000000,392
48,0.60120882,0.72666667,0.72115986,0.49000000,393
49,0.59712435,0.75333333,0.71633729,0.46000000,395
50,0.59622338,0.74666667,0.71667770,0.47000000,389
51,0.59436460,0.75666667,0.71691281,0.47000000,400
52,0.60425941,0.69000000,0.72452807,0.49000000,401
53,0.59836572,0.70333333,0.72809273,0.49000000,403
54,0.59097580,0.74666667,0.72152190,0.49000000,395
55,0.58733184,0.76000000,0.71767702,0.47000000,393
56,0.59212971,0.70666667,0.72103935,0.51000000,392
57,0.58464233,0.76333333,0.71933507,0.50000000,392
58,0.58290872,0.76666667,0.71923057,0.48000000,390
59,0.58154225,0.76000000,0.72002438,0.50000000,404
60,0.57970801,0.77666667,0.71839725,0.49000000,393
61,0.57971695,0.76333333,0.72300555,0.49000000,391
62,0.57657430,0.77666667,0.72004031,0.48000000,399
63,0.57511678,0.78666667,0.72051518,0.47000000,392
64,0.58316376,0.72333333,0.73283216,0.49000000,388
65,0.57200463,0.78000000,0.71997869,0.49000000,389
66,0.57389124,0.77333333,0.72131130,0.48000000,389
67,0.56898341,0.78333333,0.72051885,0.48000000,391
68,0.57249372,0.76333333,0.72926202,0.49000000,388
69,0.56722064,0.79333333,0.72442105,0.49000000,389
70,0.56474196,0.79333333,0.72328128,0.50000000,388
71,0.56490190,0.80000000,0.72202526,0.47000000,392
72,0.56439183,0.78333333,0.72690214,0.49000000,394
73,0.56176653,0.79333333,0.72528826,0.49000000,390
74,0.55863991,0.80666667,0.72239763,0.46000000,389
75,0.55936857,0.80666667,0.72221921,0.49000000,388
76,0.55600473,0.79666667,0.72260948,0.49000000,388
77,0.55425381,0.80333333,0.72234750,0.47000000,391
78,0.55353789,0.80333333,0.72507596,0.49000000,390
79,0.55293860,0.80666667,0.72252201,0.49000000,395
80,0.56519792,0.72000000,0.73219481,0.49000000,401
81,0.55525938,0.77666667,0.73248475,0.49000000,391
82,0.55703379,0.77333333,0.72786905,0.50000000,394
83,0.54669113,0.81000000,0.72520091,0.50000000,395
84,0.54719223,0.81666667,0.72355661,0.48000000,388
85,0.54684258,0.80333333,0.73005976,0.49000000,388
86,0.54289917,0.81666667,0.72384840,0.49000000,391
87,0.53998120,0.83000000,0.72350587,0.47000000,387
88,0.54150165,0.80666667,0.72875211,0.50000000,399
89,0.54258959,0.81000000,0.72592541,0.46000000,387
90,0.53666328,0.83666667,0.72406036,0.50000000,390
91,0.53610465,0.83000000,0.72436495,0.47000000,388
92,0.53624041,0.81000000,0.73075414,0.50000000,394
93,0.53240328,0.82333333,0.72753560,0.52000000,392
94,0.53206594,0.82000000,0.72803631,0.49000000,388
95,0.53403222,0.81666667,0.72640246,0.48000000,395
96,0.52804429,0.83000000,0.72620855,0.49000000,386
97,0.53016785,0.81333333,0.73140315,0.49000000,390
98,0.52483143,0.84000000,0.72629614,0.49000000,387
99,0.52353853,0.84666667,0.72531445,0.47000000,392
100,0.53119052,0.79666667,0.73064694,0.47000000,388
