epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time_ms
1,0.70425622,0.50000000,0.68359524,0.59000000,395
2,0.69617294,0.51333333,0.68269459,0.53000000,390
3,0.69398081,0.52000000,0.68709314,0.55000000,400
4,0.68688809,0.53666667,0.68369671,0.57000000,402
5,0.68885050,0.53333333,0.69261287,0.54000000,392
6,0.68050937,0.55666667,0.68325653,0.57000000,392
7,0.67863132,0.56000000,0.68945995,0.55000000,389
8,0.67682639,0.56333333,0.68496518,0.59000000,390
9,0.67264717,0.56666667,0.68422516,0.57000000,393
10,0.66800819,0.62333333,0.68827425,0.54000000,393
11,0.66339887,0.61333333,0.68453874,0.54000000,396
12,0.66882479,0.59333333,0.68813854,0.60000000,398
13,0.66254154,0.60333333,0.69456423,0.54000000,397
14,0.65675865,0.64333333,0.68997072,0.56000000,391
15,0.65409208,0.66000000,0.68990196,0.55000000,391
16,0.65299051,0.64333333,0.69249514,0.56000000,388
17,0.64979483,0.65333333,0.69130281,0.55000000,391
18,0.64721640,0.67333333,0.69107294,0.55000000,388
19,0.65114422,0.63000000,0.69988131,0.53000000,391
20,0.64407168,0.66000000,0.69368131,0.56000000,390
21,0.64109453,0.65333333,0.68735380,0.51000000,397
22,0.63949873,0.67000000,0.69404010,0.54000000,396
23,0.63974819,0.65666667,0.69777183,0.54000000,394
24,0.63263879,0.69000000,0.68907676,0.51000000,393
25,0.63805363,0.66333333,0.69990008,0.54000000,387
26,0.62983940,0.69000000,0.68758951,0.53000000,388
27,0.62781879,0.69333333,0.68851281,0.54000000,389
28,0.62488875,0.71000000,0.68753759,0.54000000,391
29,0.62357158,0.71000000,0.69212987,0.53000000,398
30,0.62200420,0.72000000,0.68795307,0.54000000,388
31,0.62015845,0.71333333,0.69269691,0.52000000,388
32,0.61696798,0.71000000,0.68896001,0.52000000,396
33,0.62214961,0.68666667,0.69139840,0.54000000,401
34,0.61991516,0.68666667,0.69054335,0.56000000,393
35,0.61191529,0.72333333,0.68854894,0.53000000,389
36,0.61767637,0.68333333,0.69169159,0.53000000,396
37,0.60799461,0.73000000,0.69076994,0.50000000,389
38,0.60645800,0.73000000,0.68958265,0.54000000,388
39,0.60414062,0.72666667,0.69016677,0.52000000,389
40,0.60308509,0.74000000,0.68914138,0.54000000,400
41,0.60242124,0.73000000,0.68887338,0.53000000,397
42,0.59919377,0.74333333,0.68972689,0.54000000,399
43,0.60668229,0.69333333,0.69352211,0.54000000,403
44,0.59753513,0.75000000,0.69418072,0.50000000,393
45,0.59410186,0.76000000,0.69199159,0.51000000,391
46,0.59331526,0.75666667,0.69403029,0.51000000,388
47,0.59114486,0.75333333,0.69017464,0.53000000,387
48,0.59119005,0.75666667,0.69500968,0.52000000,389
49,0.59331838,0.73333333,0.69950085,0.52000000,395
50,0.59201364,0.75000000,0.69313554,0.50000000,391
51,0.58402572,0.78333333,0.69139196,0.52000000,398
52,0.59138871,0.73666667,0.70539657,0.53000000,401
53,0.58061604,0.78333333,0.69200058,0.52000000,400
54,0.57947846,0.77666667,0.69202640,0.52000000,392
55,0.58376595,0.75000000,0.69335494,0.50000000,402
56,0.57677242,0.78000000,0.69479919,0.51000000,392
57,0.57417042,0.78333333,0.69316491,0.52000000,393
58,0.57308718,0.78666667,0.69255879,0.51000000,388
59,0.57100378,0.78333333,0.69515925,0.53000000,390
60,0.56987614,0.78666667,0.69662147,0.52000000,393
61,0.56766392,0.78333333,0.69397362,0.52000000,389
62,0.56875410,0.78000000,0.69913503,0.53000000,400
63,0.56463033,0.79333333,0.69321412,0.54000000,392
64,0.56369726,0.79000000,0.69648877,0.54000000,392
65,0.56155483,0.80000000,0.69358118,0.52000000,395
66,0.56272471,0.78666667,0.69967336,0.53000000,388
67,0.56002625,0.79000000,0.69305202,0.50000000,392
68,0.55823137,0.80333333,0.69714514,0.53000000,389
69,0.55749205,0.79333333,0.69831370,0.53000000,387
70,0.55626533,0.80000000,0.69318262,0.50000000,388
71,0.55405946,0.79666667,0.69785997,0.53000000,392
72,0.55590613,0.79333333,0.70202313,0.52000000,397
73,0.54931504,0.81000000,0.69377705,0.51000000,391
74,0.54852671,0.81000000,0.69619017,0.53000000,389
75,0.54656574,0.80666667,0.69350061,0.52000000,390
76,0.54514915,0.81000000,0.69281490,0.51000000,389
77,0.54359805,0.81666667,0.69343456,0.51000000,388
78,0.54420306,0.81000000,0.69436093,0.52000000,388
79,0.54157742,0.81666667,0.69788432,0.53000000,389
80,0.54348457,0.81333333,0.70190951,0.55000000,392
81,0.54360827,0.79000000,0.70498260,0.52000000,389
82,0.53644131,0.81666667,0.69676445,0.53000000,394
83,0.53539390,0.82666667,0.69760708,0.53000000,398
